CUV|Posición|Nombre Producto|Descripcion1|Descripcion2|Descripcion3|Marca Producto
95008|1|+ 2 COLONIAS YOU|You Eau De Toilette Atomiseur 100ml|||ésika
95006|1|+ 3 COLONIAS YOU|You Eau De Toilette Atomiseur 100ml|||ésika
95254|1|+ 2 PERFUMES MAGNAT SELECT|Magnat Select Cologne Atomiseur 90ml. Maderosa activa|||ésika
95221|1|+ PERFUME LEYENDA|Leyenda Cologne Atomiseur 100ml|||ésika
95221|2|+ PERFUME LEYENDA MINI|Leyenda mini cologne atomiseur 10 ml|||ésika
95221|3|+ GRATIS: BOLSA DE REGALO LBEL|Bolsa de regalo L'Bel (imagen referencial) |||L'BEL
95204|1|+ PERFUME MAGNAT|Magnat Cologne Atomiseur 90ml|||ésika
95204|2|+ DESODORANTE KALOS SPORT |Kalos sport desodorant roll-on 50 ml|||ésika
95204|3|+ GRATIS: BOLSA DE REGALO LBEL|Bolsa de regalo L'Bel (imagen referencial) |||L'BEL
95268|1|+ PERFUME FEMME MAGNAT|Perfume Elegante Maderosa  Exclusivas notas de amaretto de Italia con acordes maderosos y frutales. 45 ml. |||ésika
95268|2|+ LABIAL HIDRACOLOR 3 EN 1 TONO PIMIENTA CALIENTE|Hidracolor 3 en 1 labial de hidratación. color y efecto perfeccionador fps25 4 g|||ésika
95268|3|+ DESODORANTE PULSO |Pulso Roll-on 50 ml|||ésika
95268|4|+ GRATIS: BOLSA DE REGALO LBEL|Bolsa de regalo L'Bel (imagen referencial) |||L'BEL
95279|1|+ PERFUME SWEET BLACK|sweet black familia olfativa: dulce eau de parfum 50 ml / 1.6 fl. oz. |||cy°zone
95279|2|+ LABIAL STUDIO LOOK TONO WINE|Color intenso que se queda en tus labios. De acabado mate y larga duración. 6 ml.|||cy°zone
95265|1|+ PERFUME MAGNAT SELECT|Magnat Select Cologne Atomiseur 90ml. Maderosa activa|||ésika
95265|2|+ LABIAL HIDRACOLOR 3 EN 1 TONO PIMIENTA CALIENTE|Hidracolor 3 en 1 labial de hidratación. color y efecto perfeccionador fps25 4 g|||ésika
95265|3|+ BOLSA DE REGALO LBEL|Bolsa de regalo L'Bel (imagen referencial) |||L'BEL
95273|1|+ PERFUME KADIA SPORT|Fragancia Kadia Sport 45 ml|||ésika
95273|2|+ LABIAL PERFECT MATCH VOLUMEN TONO VINO CALIENTE|Perfect Match volumen labial fps20 + delineador para máximo volumen líquido 3ml|||ésika
95272|1|+ DOCETETO DE SOMBRAS HD|Doceteto de sombras Ésika Pro 7 g / .24 oz|||ésika
